submitter_id.samples	submitter_id	SLC20A1	PITX2	hsa.let.7c	hsa.mir.377	hsa.mir.135b
TCGA-4P-AA8J-01A	TCGA-4P-AA8J	3.407968935	1.069901048	9.40225626	3.058764302	5.650565802
TCGA-BA-4074-01A	TCGA-BA-4074	4.381422989	1.839674015	10.20207357	2.90147283	5.696287248
TCGA-BA-4077-01B	TCGA-BA-4077	3.329077325	2.325053354	11.45586846	2.185583369	6.543446205
TCGA-BA-5151-01A	TCGA-BA-5151	4.105018969	0.949623383	6.72340922	2.351817416	4.679649779
TCGA-BA-5153-01A	TCGA-BA-5153	3.363249602	0.023396514	9.448662144	0	8.278220667
TCGA-BA-5556-01A	TCGA-BA-5556	4.040893909	0.874376562	9.252670681	1.152971898	6.430488564
TCGA-BA-5559-01A	TCGA-BA-5559	3.772027401	1.355594375	12.07222169	1.348424501	5.888632236
TCGA-BA-6871-01A	TCGA-BA-6871	3.743807375	1.384417228	12.03506926	2.165416113	7.802385977
TCGA-BA-6872-01A	TCGA-BA-6872	4.533013835	1.007347704	9.075778849	0.812394717	4.655120349
TCGA-BA-6873-01A	TCGA-BA-6873	4.268143192	1.359226761	10.66879487	1.445551917	4.283024919
TCGA-BA-7269-01A	TCGA-BA-7269	2.752215036	0.844851236	10.62458747	1.984163861	3.518644911
TCGA-BA-A4IF-01A	TCGA-BA-A4IF	3.559379515	0.523014997	10.60620565	3.348486823	6.07719676
TCGA-BA-A4IG-01A	TCGA-BA-A4IG	4.102667601	0.024452853	12.21183806	1.281810398	6.887257226
TCGA-BA-A4IH-01A	TCGA-BA-A4IH	3.733899425	0.290278909	12.17361573	1.284233384	8.049290102
TCGA-BA-A4II-01A	TCGA-BA-A4II	3.550285808	1.878179196	8.282812177	1.621663221	5.077888905
TCGA-BA-A6D8-01A	TCGA-BA-A6D8	3.422184948	0.651959813	8.847383437	2.626154074	2.723542835
TCGA-BA-A6DB-01A	TCGA-BA-A6DB	3.064262876	2.699240507	10.3772094	3.115248366	3.866756779
TCGA-BA-A6DD-01A	TCGA-BA-A6DD	2.819150337	1.593843883	10.34496975	2.377073483	5.379804891
TCGA-BA-A6DE-01A	TCGA-BA-A6DE	3.195916409	2.222919082	11.81852287	1.76839227	6.740072008
TCGA-BA-A6DG-01A	TCGA-BA-A6DG	4.071412985	0.809056894	8.394715211	2.929766385	5.395366015
TCGA-BA-A6DJ-01A	TCGA-BA-A6DJ	4.261549974	1.548149561	10.83230772	1.895853998	6.244869862
TCGA-BA-A6DL-01A	TCGA-BA-A6DL	4.421441092	3.284624045	10.12592156	1.639873939	6.449876323
TCGA-BA-A8YP-01A	TCGA-BA-A8YP	4.81527299	2.195076336	11.07726636	2.212823306	5.386570109
TCGA-BB-4223-01A	TCGA-BB-4223	3.428443869	0.029980506	12.3236088	0.58665331	6.45622028
TCGA-BB-4224-01A	TCGA-BB-4224	4.180599374	1.573926302	9.106915221	0.667798591	6.41238307
TCGA-BB-4225-01A	TCGA-BB-4225	3.689526867	0.008530118	13.63937269	1.07008633	7.379236543
TCGA-BB-4228-01A	TCGA-BB-4228	3.975278962	0.054280928	13.55621093	0.529846927	7.636075567
TCGA-BB-8601-01A	TCGA-BB-8601	3.405266129	2.061302053	8.638093895	0.636229718	6.084933682
TCGA-BB-A5HU-01A	TCGA-BB-A5HU	4.469344948	0.864389167	8.928181706	2.177192915	5.675279731
TCGA-BB-A5HZ-01A	TCGA-BB-A5HZ	3.35326958	0.043920969	10.1636595	2.356501904	5.409631592
TCGA-BB-A6UO-01A	TCGA-BB-A6UO	3.654870217	1.373254049	7.750683293	2.846584177	4.998410673
TCGA-C9-A47Z-01A	TCGA-C9-A47Z	3.087375591	1.104645814	7.430704219	0	5.703716461
TCGA-C9-A480-01A	TCGA-C9-A480	3.448263063	0.730856809	7.695978402	1.451065483	6.094676202
TCGA-CN-4725-01A	TCGA-CN-4725	3.790051793	1.058491264	8.856203813	2.93915999	6.259071306
TCGA-CN-4726-01A	TCGA-CN-4726	3.069256456	0.22506376	8.574871349	2.031562113	4.44207377
TCGA-CN-4733-01A	TCGA-CN-4733	3.676104924	0.348234557	10.96678669	2.040580017	3.948427041
TCGA-CN-4736-01A	TCGA-CN-4736	3.232595451	1.696018969	10.8218916	3.273004814	5.493618227
TCGA-CN-4737-01A	TCGA-CN-4737	3.090537674	1.459987042	9.95444371	1.663964834	4.635608548
TCGA-CN-4740-01A	TCGA-CN-4740	3.450675724	3.958699156	11.48121136	1.766616786	4.955679569
TCGA-CN-4741-01A	TCGA-CN-4741	3.241186932	3.37725477	12.27569258	1.222866372	5.045198307
TCGA-CN-4742-01A	TCGA-CN-4742	3.175122041	1.072819996	9.064543877	2.032507844	5.315100859
TCGA-CN-5358-01A	TCGA-CN-5358	3.663980565	0.919561115	11.01393864	2.731030273	3.540287953
TCGA-CN-5359-01A	TCGA-CN-5359	4.756602741	0.914993319	10.12558968	2.748699301	3.298909739
TCGA-CN-5364-01A	TCGA-CN-5364	3.069937495	4.238282641	11.70456012	4.131304012	5.119668298
TCGA-CN-5365-01A	TCGA-CN-5365	2.892932012	0.44465019	8.062143903	1.667473899	5.865833937
TCGA-CN-5367-01A	TCGA-CN-5367	3.67137248	1.717715338	10.64532848	4.68661633	5.543923061
TCGA-CN-5369-01A	TCGA-CN-5369	3.631089911	1.774048411	9.972354035	2.081370649	5.944898307
TCGA-CN-5370-01A	TCGA-CN-5370	3.746786402	0.684913154	10.78620556	2.599802182	4.202297113
TCGA-CN-5373-01A	TCGA-CN-5373	2.741916851	0.876503672	9.910997954	1.959064954	5.25035296
TCGA-CN-5374-01A	TCGA-CN-5374	3.360531738	5.666693062	11.27304049	1.687609435	7.628982265
TCGA-CN-6011-01A	TCGA-CN-6011	3.566300291	1.457241987	9.264865203	1.785993649	6.280242025
TCGA-CN-6013-01A	TCGA-CN-6013	3.125263419	1.226706655	9.699237041	0.863822713	4.120772527
TCGA-CN-6016-01A	TCGA-CN-6016	2.7496321	1.64993535	11.10770693	2.684825244	3.589534962
TCGA-CN-6017-01A	TCGA-CN-6017	3.437213058	2.004621301	10.64668602	3.327984494	3.381120126
TCGA-CN-6019-01A	TCGA-CN-6019	3.047292343	1.074244061	11.27006023	3.307149286	5.126678829
TCGA-CN-6020-01A	TCGA-CN-6020	3.512046881	2.865919797	10.75689417	2.7772661	5.467304264
TCGA-CN-6024-01A	TCGA-CN-6024	5.050646571	2.81451937	12.07144483	2.900133177	5.871817485
TCGA-CN-6995-01A	TCGA-CN-6995	3.809583899	0.989169474	8.37092619	1.339530223	4.873702187
TCGA-CN-6996-01A	TCGA-CN-6996	3.611780582	1.425043132	9.417166441	2.53726177	4.481143141
TCGA-CN-6998-01A	TCGA-CN-6998	3.163925955	0.984072038	10.40201543	1.684134698	5.016031719
TCGA-CN-A498-01A	TCGA-CN-A498	3.405285848	0.436762022	10.00422948	0.345639359	6.807261904
TCGA-CN-A499-01A	TCGA-CN-A499	3.924830517	0.627546513	8.598039574	1.06634136	7.3113056
TCGA-CN-A49A-01A	TCGA-CN-A49A	4.302913965	2.074294913	11.63072941	3.137452373	4.564148636
TCGA-CN-A49C-01A	TCGA-CN-A49C	3.539020046	0.231896581	10.95261362	0	7.436410306
TCGA-CN-A63V-01A	TCGA-CN-A63V	3.485301649	1.523469205	10.11291683	4.736839659	5.303653201
TCGA-CN-A642-01A	TCGA-CN-A642	4.665178634	2.050267379	8.112943327	1.5139197	6.641923762
TCGA-CN-A6UY-01A	TCGA-CN-A6UY	3.473013854	0.006012651	9.544566225	0.753062782	7.887320239
TCGA-CN-A6V6-01A	TCGA-CN-A6V6	3.284614214	0.695267483	10.24984522	2.283655427	6.124824907
