	[C](normalized)	[CCML](normalized)	[Ca](normalized)	[CWP](normalized)	[N](normalized)	[NCML](normalized)
hsa_circ_0092238	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0092237	0	0.663747764	2.870928498	1.487322856	0.658751561	0.485919059
hsa_circ_0092232	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0092231	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0092197	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0092143	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0092135	1.584962501	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0091778	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0091483	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0091453	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0091382	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0091360	1	0.663747764	2.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0091288	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0091187	0	2.248710265	0.549000403	0.487322856	0.658751561	2.485919059
hsa_circ_0091178	0	0.663747764	3.356355325	0.487322856	0.658751561	0.485919059
hsa_circ_0091065	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0091035	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0091014	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0090951	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0090830	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0090740	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0090363	0	0.663747764	2.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0090324	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0090306	0	0.663747764	0.549000403	0.487322856	3.980679655	0.485919059
hsa_circ_0090095	0	0.663747764	2.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0090093	2.321928095	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0090049	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089982	2.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089980	3.584962501	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0089973	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089794	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0089772	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089489	2.807354922	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089486	0	0.663747764	1.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0089371	3.459431619	3.248710265	3.718925404	3.946754475	3.466106483	0.485919059
hsa_circ_0089286	0	0.663747764	2.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0089265	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089079	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089071	2.321928095	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0089033	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088846	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088777	2.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088744	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088635	0	0.663747764	0.549000403	0.487322856	2.658751561	0.485919059
hsa_circ_0088633	0	1.663747764	3.133962904	0.487322856	0.658751561	1.485919059
hsa_circ_0088630	1.584962501	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088568	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088478	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088474	2.584962501	0.663747764	4.356355325	1.487322856	0.658751561	0.485919059
hsa_circ_0088452	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088389	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0088333	2	0.663747764	0.549000403	0.487322856	4.243714061	1.485919059
hsa_circ_0088271	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0088267	0	2.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0088265	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088250	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088095	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088088	0	0.663747764	0.549000403	0.487322856	0.658751561	1.485919059
hsa_circ_0088087	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088062	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088059	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0088058	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088036	1.584962501	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088030	2.321928095	0.663747764	3.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088025	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0088009	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087961	1.584962501	1.663747764	2.549000403	0.487322856	3.980679655	0.485919059
hsa_circ_0087960	5.754887502	4.471102686	5.008432022	3.487322856	5.118183179	3.945350677
hsa_circ_0087938	2.321928095	2.248710265	4.249440121	1.487322856	0.658751561	0.485919059
hsa_circ_0087905	3.169925001	1.663747764	4.249440121	2.487322856	0.658751561	2.070881559
hsa_circ_0087888	0	3.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087847	0	0.663747764	0.549000403	0.487322856	3.658751561	0.485919059
hsa_circ_0087828	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087765	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087653	2	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087641	2	0.663747764	3.549000403	2.487322856	0.658751561	0.485919059
hsa_circ_0087640	0	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0087631	1	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0087630	1.584962501	2.248710265	3.356355325	0.487322856	0.658751561	0.485919059
