ImmuneScore	group
1582.813994	low
1091.224482	low
697.2260001	low
1680.197607	low
615.3944932	low
1316.366964	low
1518.372052	low
2043.685316	low
1916.567844	low
1277.647586	low
612.7167922	low
493.0486455	low
1694.009115	low
1789.712111	low
1772.859622	low
1597.14963	low
392.2504092	low
685.9789548	low
289.4752869	low
1088.712736	low
1398.349853	low
1725.463429	low
2661.932197	low
518.5352275	low
2177.308094	low
1654.083217	low
2342.69203	low
2669.263636	low
1108.824149	low
1952.604665	low
1114.444513	low
874.1511881	low
2397.791224	low
102.447932	low
1315.789105	low
2175.255376	low
2357.261315	low
1841.002571	low
1372.308486	low
149.6491166	low
1350.808395	low
447.4657214	low
826.765601	low
-124.5423	low
626.9960448	low
2307.077908	low
2800.240912	low
193.6900303	low
-399.1946197	low
-388.1601106	low
280.2139491	low
2345.835911	low
418.8371792	low
-360.6990681	low
1619.27785	low
-220.4462996	low
-65.1416317	low
-128.1021784	low
723.9266029	low
2029.817146	low
1840.840373	low
333.3157405	low
872.5490246	low
-99.83045481	low
1571.665369	low
1523.693056	low
454.8381152	low
317.7346739	low
1477.189019	low
363.1752739	low
1597.939027	low
393.0125729	low
1568.631836	low
1180.19184	low
1093.11205	low
1875.206674	low
672.0462948	low
731.2154379	low
187.8348906	low
714.7078521	low
458.3658112	low
2704.742203	low
2722.668948	low
251.8388956	low
1905.023198	low
690.9644959	low
-74.25821193	low
1398.906009	low
2048.85942	low
1816.257858	low
729.6718277	low
-141.7899156	low
2219.393451	low
331.1821762	low
-301.9081181	low
497.0452122	low
2292.545788	low
1506.51531	low
1900.044399	low
1400.667953	low
1148.69829	low
2288.656096	low
1163.383205	low
201.6858395	low
716.192149	low
1312.231864	low
123.3272176	low
-272.3261561	low
207.75722	low
808.6382472	low
930.4864226	low
255.0340022	low
2623.327007	low
965.3814896	low
788.763869	low
2616.135342	low
472.4155985	low
77.87348818	low
-145.4298952	low
159.2824839	low
1084.135793	low
1237.66751	low
116.631502	low
2439.914359	low
1335.197412	low
1184.633366	low
394.6301061	low
1030.302654	low
1428.029333	low
277.6223211	low
697.0084591	low
1331.371382	low
-346.7729497	low
1073.764839	low
-919.9986488	low
1945.420691	low
1143.41665	low
2407.03662	low
929.6516112	low
-569.3973929	low
858.285143	low
1976.133095	low
1824.235903	low
1900.912761	low
968.9716093	low
1892.153353	low
633.9024479	low
183.1920926	low
-743.7135946	low
1180.634499	low
963.810745	low
1011.049857	low
246.355091	high
1282.588811	high
806.9566789	high
-297.3505902	high
1828.96629	high
836.3389146	high
793.6417587	high
516.0041217	high
1094.270597	high
6.166966559	high
305.2236236	high
1925.013013	high
1050.638947	high
1092.024144	high
548.0552203	high
2525.717475	high
2107.799029	high
742.7551909	high
758.7344527	high
774.5608624	high
2473.10926	high
-324.4276764	high
57.7773026	high
1731.17668	high
1072.110359	high
789.2556984	high
123.9174418	high
968.2587281	high
1045.476582	high
1311.420052	high
1151.066679	high
189.9069134	high
595.2063347	high
299.5605753	high
1568.959311	high
1699.003957	high
1875.396485	high
1879.872244	high
536.7604976	high
2302.506044	high
1618.131227	high
369.2288476	high
1557.543522	high
-198.7746944	high
775.7318674	high
1503.833439	high
912.0631801	high
1394.562831	high
177.3863947	high
455.8821644	high
545.0359931	high
-224.9383618	high
956.1740319	high
-128.5119895	high
786.3934889	high
1283.976684	high
19.99181731	high
97.12466997	high
298.0734696	high
1694.787384	high
411.3264873	high
482.9827275	high
1680.663314	high
670.9750749	high
122.3055612	high
586.732044	high
925.0490494	high
1338.973464	high
-47.42551403	high
2093.549585	high
-74.79447766	high
-112.3675932	high
-228.6918998	high
546.1594501	high
1584.145962	high
101.614472	high
-561.1981376	high
128.4615134	high
1258.30841	high
2035.808473	high
285.8877423	high
1002.971067	high
1844.229636	high
1069.07726	high
-589.6828382	high
144.8615007	high
585.4426815	high
439.3597997	high
749.5528174	high
-446.4077051	high
-555.9745097	high
2086.245523	high
235.6988947	high
688.5142493	high
1721.976144	high
1036.514584	high
742.7217109	high
748.1991199	high
1598.603526	high
1996.320729	high
389.2619545	high
1830.191638	high
551.5924732	high
965.0996035	high
438.219972	high
58.58171489	high
1323.56895	high
437.255796	high
724.2990438	high
1276.24526	high
2038.326329	high
-255.4719116	high
2637.587762	high
1719.093084	high
1291.496912	high
-388.6180795	high
536.119219	high
449.029311	high
1193.358851	high
428.2876198	high
788.5171235	high
1794.396731	high
148.7810252	high
864.9887465	high
1415.129741	high
2060.954314	high
999.793922	high
2136.809432	high
2132.696867	high
2352.963219	high
594.3592182	high
379.395138	high
712.4476333	high
2299.884924	high
322.970026	high
615.8559175	high
997.6321111	high
1783.910487	high
746.2827271	high
245.5067823	high
-367.3532688	high
433.629984	high
382.2384389	high
-1010.600928	high
1262.899222	high
-273.2192363	high
-111.8447794	high
950.8610682	high
1085.114716	high
93.01603107	high
2402.434021	high
-596.4051246	high
2293.460732	high
