StromalScore	group
-1103.273889	low
-404.4153756	low
-261.7594877	low
-757.3969766	low
-1371.794414	low
-1215.900232	low
-691.7017549	low
-724.7748832	low
-418.2509409	low
-1521.739881	low
-349.4945521	low
-1475.64429	low
-1083.588136	low
-1307.422488	low
-729.3484561	low
-564.4209331	low
-1215.269478	low
-1320.120796	low
-1954.218426	low
31.04517385	low
25.88390932	low
-1074.91201	low
-329.9041747	low
-975.6771587	low
344.8471809	low
-434.6734718	low
-282.7142809	low
319.2689304	low
-318.234198	low
-848.2546128	low
746.9998567	low
-781.1834041	low
367.9942806	low
-524.1838439	low
-115.738118	low
-630.1775209	low
448.5934749	low
-724.3510458	low
-845.5892461	low
-1089.635556	low
-931.4746077	low
-439.5225581	low
1100.902388	low
534.9505757	low
-983.8899654	low
802.4092939	low
359.1532851	low
-1070.833244	low
262.4762413	low
-1809.040194	low
-1054.555801	low
360.6486147	low
-1656.148807	low
-929.6232732	low
-253.9651143	low
-1368.335419	low
-1187.055027	low
-929.7350315	low
-838.7347236	low
-203.9452798	low
-433.5377912	low
-1212.322863	low
-494.3619088	low
-459.7552695	low
628.1247252	low
-428.3676115	low
-877.2791152	low
-696.6241925	low
601.1419815	low
247.6037607	low
202.8626499	low
-870.8602028	low
-698.388015	low
210.1389749	low
-17.58192242	low
-364.603476	low
-802.993343	low
-1078.180013	low
-1060.09355	low
-913.0443494	low
93.75284737	low
708.4429843	low
1218.24224	low
-1191.032817	low
1593.421222	low
131.1255609	low
-427.6906446	low
-0.915917822	low
-114.1875885	low
10.21818537	low
374.2429297	low
-1697.171132	low
35.97051254	low
-417.0357143	low
-1204.483241	low
-985.764962	low
1094.640188	low
-328.1351123	low
1002.157191	low
-282.8875371	low
-632.3510104	low
1187.964393	low
-174.2193385	low
-1043.984391	low
-60.56018941	low
-508.5425905	low
-1060.188101	low
-1452.703901	low
-1287.000182	low
81.43069155	low
-637.3706723	low
-1171.882587	low
-219.1836288	low
-32.09051025	low
-1116.363168	low
197.780618	low
320.3681741	low
763.0698094	low
-115.322612	low
-836.6286746	low
-170.0276476	low
-381.5569645	low
-1389.584175	low
843.9496459	low
-716.1263334	low
-400.8408601	low
318.2079603	low
-606.6405474	low
826.6175257	low
-199.1226273	low
-611.123595	low
1184.673556	low
-1008.145493	low
1443.131774	low
-1672.471133	low
1279.381303	low
73.82059269	low
1422.979846	low
-477.8046711	low
-1104.616932	low
590.7159992	low
495.5361661	low
881.528481	low
762.5689871	low
421.8831884	low
824.3777918	low
-236.6431439	low
-937.6337362	low
-1183.135662	low
-747.2568833	low
-52.29600132	low
224.1800551	low
-475.7178448	high
40.11669074	high
-450.8145214	high
-1271.459685	high
742.6015454	high
536.9730599	high
-623.8901489	high
-1120.093404	high
-366.3665711	high
-535.0069592	high
-973.7733045	high
382.1570264	high
-148.1718654	high
-39.12178044	high
354.9588958	high
1733.108265	high
248.3481326	high
6.139629706	high
-122.1012998	high
-251.7158476	high
1257.8844	high
-1435.894175	high
-187.5485166	high
-151.8436396	high
967.2178691	high
-408.1870549	high
-996.7171272	high
-532.7851308	high
-476.2814035	high
595.0372788	high
96.03770555	high
-1423.228056	high
1211.252235	high
192.3163428	high
688.6384269	high
-857.2225334	high
-218.5682273	high
1566.346646	high
-202.9862999	high
36.29633487	high
-241.9519325	high
-543.643133	high
-373.2175526	high
-811.3020912	high
-571.1140576	high
628.0008469	high
-337.699447	high
-463.7979505	high
-997.0198959	high
-685.0434656	high
126.4882115	high
-1324.205032	high
344.2564301	high
-775.4663088	high
-600.6504487	high
1088.537196	high
199.5584675	high
-632.7999538	high
-835.9907864	high
-52.80474439	high
637.5937552	high
-26.09017142	high
-335.1662988	high
-333.4513505	high
222.4126681	high
-59.37013482	high
-535.7390369	high
-79.82485316	high
-411.7490173	high
445.910843	high
-874.1229482	high
-915.9579432	high
-831.4509407	high
197.8313756	high
-309.3720867	high
-1637.080609	high
-141.2089489	high
-532.6920338	high
273.6589465	high
760.8765965	high
-472.7415166	high
-168.7587313	high
354.4918676	high
1175.928453	high
-414.9009765	high
-1383.370249	high
-323.5916594	high
-934.1426793	high
-723.0436979	high
-751.1394282	high
-353.9075875	high
-557.5052934	high
-504.8943001	high
257.6814023	high
1642.258563	high
-11.72952626	high
-325.7142677	high
-59.10914569	high
277.1616477	high
117.7903241	high
-567.5791744	high
558.5453858	high
-429.6429004	high
84.3515877	high
-219.4793175	high
-220.8160849	high
414.7636167	high
-534.9460627	high
-249.7347433	high
516.0258399	high
353.2175764	high
-874.501307	high
1228.096108	high
507.8557097	high
1053.601597	high
-1500.398078	high
-184.9929606	high
544.4132054	high
-348.8121784	high
232.2388916	high
-17.9280677	high
717.2856919	high
-216.9458293	high
-171.0755539	high
-505.2036621	high
1252.617685	high
462.2580897	high
-579.7718243	high
-90.85446801	high
199.8142808	high
-523.4630651	high
88.70875851	high
-712.7965228	high
293.0603135	high
650.8633271	high
122.2363648	high
607.7544131	high
1340.200502	high
-388.4606518	high
-713.9082657	high
-1534.165702	high
-112.8670097	high
-313.596273	high
-1826.364763	high
853.6393928	high
-1108.599214	high
-36.63040113	high
-450.7043621	high
39.68735387	high
-529.7431239	high
-400.4617307	high
-825.6104847	high
1502.052893	high
